"average_flow","flash_flow","precip_variability","population","proportion_urban","percent_no_sanitation","n_export","lake","river","noxn"
11621.107421875,1.06301999092102,17.2497067692691,4974.8916015625,0.469999998807907,20.7360000610352,20668.283203125,0,1,0.239166666666667
11621.107421875,1.06301999092102,17.2497067692691,4974.8916015625,0.469999998807907,20.7360000610352,20668.283203125,0,1,0.285555555555556
11621.107421875,1.06301999092102,17.2497067692691,4974.8916015625,0.469999998807907,20.7360000610352,20668.283203125,0,1,0.1964
11621.107421875,1.06301999092102,17.2497067692691,4974.8916015625,0.469999998807907,20.7360000610352,20668.283203125,0,1,0.282090909090909
12355.9638671875,1.0536162853241,27.3053127596608,899.003784179688,0,8.91655731201172,7867.96826171875,0,1,0.394833333333333
12355.9638671875,1.0536162853241,27.3053127596608,899.003784179688,0,8.91655731201172,7867.96826171875,0,1,0.1822
12355.9638671875,1.0536162853241,27.3053127596608,899.003784179688,0,8.91655731201172,7867.96826171875,0,1,0.2708
12355.9638671875,1.0536162853241,27.3053127596608,899.003784179688,0,8.91655731201172,7867.96826171875,0,1,0.278636363636364
12355.9638671875,1.0536162853241,27.3053127596608,899.003784179688,0,8.91655731201172,7867.96826171875,0,1,0.320222222222222
3.21115374565125,0.438357442617416,16.9732197798087,27078.55859375,0.660000026226044,0.514663755893707,374086.9375,0,1,5.9625
3.21115374565125,0.438357442617416,16.9732197798087,27078.55859375,0.660000026226044,0.514663755893707,374086.9375,0,1,5.77141666666667
3.21115374565125,0.438357442617416,16.9732197798087,27078.55859375,0.660000026226044,0.514663755893707,374086.9375,0,1,5.54166666666667
0,0,19.6932456052453,10787.7177734375,0.990000009536743,0.514663755893707,3934.83471679688,0,1,2.587
0,0,19.6932456052453,10787.7177734375,0.990000009536743,0.514663755893707,3934.83471679688,0,1,2.46333333333333
0,0,19.6932456052453,10787.7177734375,0.990000009536743,0.514663755893707,3934.83471679688,0,1,1.39416666666667
0,0,17.9734791034378,3038.51318359375,0,0.514663755893707,110477.21875,0,1,3.34791666666667
0,0,17.9734791034378,3038.51318359375,0,0.514663755893707,110477.21875,0,1,1.4725
0,0,17.9734791034378,3038.51318359375,0,0.514663755893707,110477.21875,0,1,2.2025
6.50211524963379,0.449360996484757,14.8319610185999,50402.51953125,0.5,2.12659502029419,173317.90625,0,1,4.09074166666667
6.50211524963379,0.449360996484757,14.8319610185999,50402.51953125,0.5,2.12659502029419,173317.90625,0,1,4.95308333333333
2.344153881073,0.409673869609833,12.6651310164424,7171.12109375,0.150000005960464,0.514663755893707,121027.0234375,0,1,3.69675
2.344153881073,0.409673869609833,12.6651310164424,7171.12109375,0.150000005960464,0.514663755893707,121027.0234375,0,1,3.59
2.344153881073,0.409673869609833,12.6651310164424,7171.12109375,0.150000005960464,0.514663755893707,121027.0234375,0,1,3.529
71.2300796508789,0.561671197414398,15.5968197438303,67139.140625,1,0.514663755893707,308261.46875,0,1,5.02672727272727
71.2300796508789,0.561671197414398,15.5968197438303,67139.140625,1,0.514663755893707,308261.46875,0,1,5.38117647058824
71.2300796508789,0.561671197414398,15.5968197438303,67139.140625,1,0.514663755893707,308261.46875,0,1,5.28666666666667
39.3828086853027,0.528164505958557,12.4283050009802,72604.6796875,1,0.514663755893707,243152.0625,0,1,4.42541666666667
39.3828086853027,0.528164505958557,12.4283050009802,72604.6796875,1,0.514663755893707,243152.0625,0,1,4.05033333333333
39.3828086853027,0.528164505958557,12.4283050009802,72604.6796875,1,0.514663755893707,243152.0625,0,1,4.22727272727273
9.1390380859375,0.461991161108017,12.6672548452901,17605.6640625,0.720000028610229,0.514663755893707,286767.59375,0,1,1.5635
9.1390380859375,0.461991161108017,12.6672548452901,17605.6640625,0.720000028610229,0.514663755893707,286767.59375,0,1,1.55166666666667
9.1390380859375,0.461991161108017,12.6672548452901,17605.6640625,0.720000028610229,0.514663755893707,286767.59375,0,1,1.8222
24.3732299804688,0.498750925064087,12.2670046632864,26748.048828125,1,0.514663755893707,301903.03125,0,1,3.85633333333333
24.3732299804688,0.498750925064087,12.2670046632864,26748.048828125,1,0.514663755893707,301903.03125,0,1,3.565
24.3732299804688,0.498750925064087,12.2670046632864,26748.048828125,1,0.514663755893707,301903.03125,0,1,3.30333333333333
13.9888076782227,0.46784707903862,12.9927125247197,17784.14453125,0.769999980926514,0.514663755893707,308703.9375,0,1,5.08833333333333
13.9888076782227,0.46784707903862,12.9927125247197,17784.14453125,0.769999980926514,0.514663755893707,308703.9375,0,1,4.49583333333333
13.9888076782227,0.46784707903862,12.9927125247197,17784.14453125,0.769999980926514,0.514663755893707,308703.9375,0,1,5.05883333333333
73.5730361938477,0.564409494400024,14.7212709967174,37473.65234375,1,0.514663755893707,201033.703125,0,1,3.03083333333333
73.5730361938477,0.564409494400024,14.7212709967174,37473.65234375,1,0.514663755893707,201033.703125,0,1,2.84833333333333
73.5730361938477,0.564409494400024,14.7212709967174,37473.65234375,1,0.514663755893707,201033.703125,0,1,2.80916666666667
1.10853850841522,0.418019145727158,17.6440846071912,12648.9990234375,0.409999996423721,0.514663755893707,303340.5,0,1,5.26416666666667
1.10853850841522,0.418019145727158,17.6440846071912,12648.9990234375,0.409999996423721,0.514663755893707,303340.5,0,1,5.23033333333333
1.10853850841522,0.418019145727158,17.6440846071912,12648.9990234375,0.409999996423721,0.514663755893707,303340.5,0,1,4.64583333333333
0,0,19.6272218181388,51015.046875,0.969387769699097,0.514663755893707,72973.40625,0,1,4.46333333333333
0,0,19.6272218181388,51015.046875,0.969387769699097,0.514663755893707,72973.40625,0,1,5.2078125
