"","OBJECTID","n_export","precip_variability","population","pigs","cattle","flash_flow","average_flow","percent_no_sanitation","proportion_urban"
"49","BEL00057",97642.0390625,12.4283050009802,72604.6796875,344.593764034274,2462.90582939399,0.528164505958557,39.3828086853027,0.514663755893707,1
"50","BEL00059",482308.09375,11.0498961900316,16894.96484375,3169.02735901402,3532.80405422646,0.462515324354172,6.24603843688965,0.514663755893707,0.100000001490116
"51","BEL00060",96744.171875,13.3347051824652,19048.412109375,7784.90778598556,8071.79550799478,0.396527856588364,0.704538464546204,0.514663755893707,0.550000011920929
"52","BEL00061",257225.078125,12.4283050009802,72604.6796875,344.593764034274,2462.90582939399,0.528164505958557,39.3828086853027,0.514663755893707,1
"53","BEL00062",337979.03125,12.3667465117549,48461.08203125,946.488232880109,1617.68829615478,0.405765891075134,0.594384610652924,0.514663755893707,1
"54","BEL00063",280653.5625,11.6997852812039,470584.84375,0,0,0.479107081890106,8.77661514282227,0.514663755893707,1
"55","BEL00064",103992.4765625,11.6409826102402,111435.6875,544.764264567369,2784.00731503642,0.474294573068619,7.51423072814941,0.514663755893707,1
"56","BEL00065",248362.078125,11.6409826102402,111435.6875,544.764264567369,2784.00731503642,0.474294573068619,7.51423072814941,0.514663755893707,1
"57","BEL00066",685035.5,11.8492909661696,38925.22265625,1359.21774114002,2392.16174194005,0.4659723341465,5.83676910400391,0.514663755893707,0.899999976158142
"58","BEL00067",97642.0390625,12.7990014412435,30405.580078125,1248.21834902108,3126.07244734961,0.54290783405304,49.155460357666,0.514663755893707,1
"59","BEL00068",339892.09375,12.9927125247197,17784.14453125,8516.0208806474,3982.24745907922,0.46784707903862,13.9888076782227,0.514663755893707,0.769999980926514
"60","BEL00069",424496.96875,13.4257881736514,26718.578125,2110.66068626606,8616.21144704286,0.459249317646027,6.30823087692261,0.514663755893707,0.370000004768372
"61","BEL00070",251351.28125,16.0860842563597,48585.44921875,11009.2704742193,6280.57804223585,0.513634622097015,21.3575382232666,0.514663755893707,0.990000009536743
"62","BEL00071",464908.53125,19.2498966169299,17428.787109375,7355.60681972737,3875.18308010901,0,0,0.514663755893707,0.819277107715607
"63","BEL00072",733180.6875,14.9836350890182,9204.970703125,2941.97378653644,8833.04559108373,0.505074560642242,35.5385398864746,0.514663755893707,0.209999993443489
"64","BEL00073",622730.1875,14.9836350890182,9204.970703125,2941.97378653644,8833.04559108373,0.505074560642242,35.5385398864746,0.514663755893707,0.209999993443489
"65","BEL00074",604056.25,12.8478686000475,34708.21484375,1253.22552844658,2348.9576236767,0.558968365192413,219.103378295898,2.12659502029419,0.910000026226044
"66","BEL00075",373467.1875,19.6272218181388,51015.046875,8104.85856328489,4958.83280470683,0,0,0.514663755893707,0.969387769699097
"67","BEL00076",549919.375,16.572993630296,2809.224609375,4408.88430558972,2555.90489983841,0.440024137496948,3.36753845214844,0.514663755893707,0
"68","BEL00077",70628.5,19.6932456052453,10787.7177734375,11427.2136722087,6629.5761685685,0,0,0.514663755893707,0.990000009536743
"69","BGD00002",150997.015625,93.0750039216665,116790.625,62.2719525828209,11288.1966898758,0,0,64.2270202636719,0.75
"70","BGD00003",90240.546875,96.8695699580197,28274.740234375,0,14803.9486371447,0.439519941806793,9274.83984375,64.2270202636719,0
"71","BGD00004",216951.390625,87.7597404480619,184398.4375,1.66549984827656,13794.95163268,0.354300320148468,4433.13720703125,64.2270202636719,0.589999973773956
"72","BGD00005",234585.484375,95.9268629716475,89057.1015625,43.5476426716381,16009.8394107898,0.30458927154541,2.29307699203491,64.2270202636719,0.419999986886978
"73","BGD00006",130412.6953125,107.409971818242,110508.15625,1.85900597770646,10100.4400466155,0,0,64.2270202636719,0.219999998807907
"74","CAN00001",NA,39.727607885233,114.080718994141,0,0,0.490354865789414,8805.357421875,0.373447775840759,0
"75","CAN00002",1916.62561035156,53.4076743479371,29.4042778015137,0.262562911325199,6.52613819101282,1.09604871273041,2136.37231445312,0.373447775840759,0
"76","CAN00003",58102.578125,14.072793475222,11240.5361328125,0,557.847924689733,1.33733606338501,11460.9775390625,0.373447775840759,0.899999976158142
"77","CAN00004",2608.73388671875,59.0456735488396,214.189636230469,32.6816649890261,105.252406458409,0.696798026561737,611.050109863281,0.373447775840759,0.430000007152557
"78","CAN00005",NA,51.3149962498819,16.4733562469482,0.275519921670372,6.9958799625545,0.597666621208191,3364.44213867188,0.373447775840759,0
"79","CAN00006",56649.1953125,60.1754824899617,88.7987747192383,1196.68196646433,889.504175514244,0.304436475038528,10.5331153869629,0.373447775840759,0
"80","CAN00007",11361.0634765625,50.8544740233533,6791.73974609375,NA,NA,0.692726492881775,2739.1875,0.373447775840759,0.9200000166893
"81","CAN00009",NA,52.8118347882792,0,0.00798321445032529,3.80134335209587,0.328667342662811,517.225463867188,0.373447775840759,0
"82","CAN00010",NA,16.253336394485,NA,NA,NA,0.333757311105728,6.01519250869751,0.373447775840759,NA
"83","CAN00011",0,25.6352316278771,NA,NA,NA,0.689049899578094,739.384582519531,0.031795758754015,NA
"84","CAN00012",5231.04541015625,16.7773998460668,1737.08630371094,4.12367607575386,15.9802599323584,0.437270313501358,276.709075927734,0.031795758754015,0.0599999986588955
"85","CAN00014",3319.32739257812,53.9913943507504,0,0,5.30994971408537e-10,0.621257066726685,581.170715332031,0.373447775840759,0
"86","CAN00015",6915.3095703125,44.4660656453113,201.041091918945,3.41723320047445,0.000952898549825997,0.564585149288177,879.260986328125,0.373447775840759,0
"87","CAN00017",4154.568359375,52.9164570338716,0,0,1.19328012992172,1.09709525108337,2162.9169921875,0.373447775840759,0
"88","CAN00018",NA,29.8662579568562,0,0,0,0.335484594106674,236.254577636719,0.373447775840759,0
"89","CAN00019",NA,40.7830247979516,132.485137939453,0.476010294469198,0.00388728121940747,0.328513503074646,335.285003662109,0.373447775840759,0
"90","CAN00021",9305.4443359375,34.4355034711396,0,0,0,0.293852597475052,10.9175386428833,0.373447775840759,0
"91","CAN00022",5098.0810546875,19.4356559598203,0,0,0,0.280986815690994,8.34207725524902,0.373447775840759,0
"92","CAN00023",12930.9013671875,27.568778513083,1464.50366210938,45.3106345372011,166.704110383223,0.604225933551788,1969.05346679688,0.373447775840759,0.670000016689301
"93","CAN00026",6452.58154296875,28.8317021494823,13.2266054153442,0.873095559224577,102.228229483424,0.304718613624573,0.415038466453552,0.373447775840759,0
"94","CAN00027",5185.06689453125,19.8863328165211,2.30322289466858,0,0,0.328641176223755,46.5860786437988,0.373447775840759,0
"95","CAN00028",38706.75390625,24.2048318158024,511.312713623047,1.85019439266174,119.630597743502,0.303003758192062,0.386038452386856,0.373447775840759,0.449999988079071
"96","CAN00029",36505.9296875,26.2935838988713,12338.451171875,0,0,0.348415434360504,8.30134582519531,0.373447775840759,1
"97","CAN00030",3069.5595703125,25.0444772678552,165.436294555664,0,145.176296293956,0.39737343788147,100.456886291504,0.373447775840759,0
"98","CAN00031",0,20.5194728404928,NA,NA,NA,0.404064178466797,33.0522308349609,0.031795758754015,NA
"99","CAN00032",432.538726806641,35.4827799818619,0,NA,NA,0.248110264539719,0.700653851032257,0.373447775840759,0.735294103622437
"100","CAN00033",8778.1953125,50.0887901715878,0,NA,NA,0.450694471597672,48.7309226989746,0.031795758754015,0.370000004768372
"101","CAN00034",NA,29.8713906198949,NA,NA,NA,0.212112158536911,0.327884614467621,0.031795758754015,NA
"102","CAN00035",NA,25.8628998358794,NA,NA,NA,0.436669409275055,87.8620376586914,0.031795758754015,NA
"103","CAN00037",0,18.2915165060398,NA,NA,NA,1.21781420707703,6084.654296875,0.373447775840759,NA
"104","CAN00038",0,29.3268135643503,NA,NA,NA,0.276797980070114,2.66211533546448,0.031795758754015,NA
"105","CAN00039",1053.552734375,25.3891636991751,126.933250427246,0.235343833502802,23.4968811955234,0.285796880722046,0.741423070430756,0.031795758754015,0
"106","CAN00040",NA,18.7334492946241,NA,NA,NA,1.1035498380661,4539.33251953125,0.031795758754015,NA
"107","CAN00041",4289.466796875,15.4774496101981,33682.390625,NA,NA,0.315776377916336,1.26869225502014,0.031795758754015,0.829787254333496
"108","CAN00042",NA,17.606302038034,NA,NA,NA,1.2647807598114,6869.453125,0.031795758754015,NA
"109","CAN00043",0,21.0748893758068,NA,NA,NA,1.25042235851288,6588.8310546875,0.373447775840759,NA
"110","CAN00044",0,10.7048706441533,NA,NA,NA,0.271919965744018,1.4262307882309,0.373447775840759,NA
"111","CAN00045",4901.80078125,15.5135305827124,0,NA,NA,0.26572397351265,0.764692306518555,0.031795758754015,0.305555552244186
"112","CAN00046",NA,17.4345184274668,NA,NA,NA,1.31111168861389,7529.451171875,0.031795758754015,NA
"113","CAN00047",0,13.3367486504813,NA,NA,NA,0.292241156101227,6.6220383644104,0.373447775840759,NA
"114","CAN00048",NA,14.6380636212786,NA,NA,NA,0.236448556184769,1.13715386390686,0.373447775840759,NA
"115","CAN00049",2523.95092773438,10.8640537595699,2741.87036132812,514.098149782906,377.166887762372,0.455400973558426,758.911254882812,0.373447775840759,0.810000002384186
"116","CAN00050",2182.56494140625,9.09262094124007,4274.849609375,76.5180324902134,56.277723226377,0.352269530296326,5.54250001907349,0.373447775840759,0
"117","CAN00051",1598.23474121094,12.5069954777979,236.975997924805,1.62449039782941,0.15748966425376,0,0,0.373447775840759,0
"118","CAN00052",3837.19116210938,10.5614943983889,10168.890625,0.245941761590589,3.98887652216559,0,0,0.031795758754015,0.850000023841858
"119","CAN00053",4357.2275390625,16.7465148866841,1911.23999023438,0,0,0.476407587528229,195.238647460938,0.373447775840759,0.959999978542328
"120","CAN00054",4537.01171875,15.8905595234939,68794.65625,5.58819219307233,239.504497536118,0,0,0.373447775840759,0.9375
"121","CAN00055",3247.3798828125,14.6106685624944,0,0.00424026463028802,13.6355794793624,0,0,0.373447775840759,0
"122","CAN00056",1454.94409179688,14.4795978157827,5381.71435546875,0,395.238125422873,0.46125116944313,25.7617301940918,0.373447775840759,0.930000007152557
"123","CAN00057",3985.08056640625,21.483553003922,613.02392578125,2.33252252293875,45.7014262354858,0.436718612909317,12.8463459014893,0.373447775840759,0
"124","CAN00058",162979.5,11.5180070986203,716.208251953125,0,778.516073102344,0.402157008647919,3.64988446235657,0.373447775840759,0.509999990463257
"125","CAN00071",484.513763427734,20.8864272593838,0,NA,NA,0.320055723190308,5.73265361785889,0.373447775840759,0
"126","CHL00001",11701.73046875,93.9550416186388,19028.236328125,134.081815180714,187.07485625234,0.433904647827148,16.3344230651855,3.99889707565308,0.980000019073486
