"","OBJECTID","n_export","precip_variability","population","depth_to_groundwater","cattle","average_flow","percent_no_sanitation","clay_percent","flash_flow","sand_percent","pigs","proportion_urban"
"1",1,18.9689922332764,96.2454833984375,92.8472366333008,281,1104.33734568171,0.00169230776373297,8.91655731201172,31,0.263473063707352,45,5.63479218235011,0
"2",2,2026.81726074219,89.0480041503906,563039.8125,10,15236.6946509075,0.050076924264431,64.2270202636719,36,0.147118657827377,23,220.620449178836,0
"3",3,1963.39318847656,88.6690292358398,101507.453125,10,12816.9927417096,0.116038464009762,64.2270202636719,29,0.179039821028709,33,0.999261143990038,0
"4",4,342.199584960938,84.8392639160156,431379.25,13,0,0.0112307695671916,64.2270202636719,NA,0.119967140257359,NA,0,1
"5",5,177.68879699707,14.913480758667,25526.83984375,245,86.4624607929238,0.055192306637764,0.373447775840759,14,0.294479787349701,55,2.10846184742136,1
"6",6,132.344131469727,90.7558746337891,1665.04992675781,758,102.75682536061,0.0248076915740967,3.99889707565308,27,0.335239082574844,49,0.744936378718221,0
"7",7,0.00209760433062911,26.646936416626,2552.42065429688,416,1413.30923232432,0,6.8978099822998,26,0,50,2.66541381650739,1
"8",8,62.4296226501465,79.2199096679688,328135.96875,554,665.34951698776,0.00638461532071233,0.0966705307364464,31,0.178494617342949,38,2662.19841827531,1
"9",9,654.368896484375,28.8093967437744,101104.9609375,223,1492.10001539813,0.134076923131943,0.878557801246643,27,0.333812117576599,26,155.080178184428,1
"10",10,898.282287597656,23.6453990936279,7272.9921875,8,0,0.0064230770803988,1.98082733154297,17,0.338742405176163,62,0,0
"11",11,191.331024169922,63.3959121704102,8730.6572265625,3,0,0.0526153855025768,44.7603530883789,43,0.240675583481789,32,0,1
"12",12,22.7063808441162,68.0019836425781,8730.6572265625,3,0,0.0243461541831493,44.7603530883789,44,0.236105933785439,27,0,1
"13",13,172.475189208984,46.9195213317871,843116.375,83,2730.36588004124,0.0231538470834494,44.7603530883789,38,0.350203663110733,45,557.34448484,1
"14",14,3138.09716796875,60.2480659484863,82539.6171875,36,6299.19747952954,0.0180769227445126,44.7603530883789,46,0.279761880636215,29,337.669847621436,0
"15",15,222.32698059082,66.561882019043,230252.5625,24,2665.62063238538,0.0118461539968848,44.7603530883789,41,0.259696453809738,35,37.7540176271887,1
"16",16,343.265930175781,90.4843139648438,236141.5625,14,5534.16240454153,0.0685769245028496,44.7603530883789,46,0.263874500989914,30,567.927334579098,1
"17",17,1233.478515625,151.516189575195,618657.5,38,0,0.00115384615492076,64.8115615844727,39,0.0449101813137531,35,0,1
"18",18,489.741729736328,153.608032226562,9654.3916015625,35,4318.32328048752,0.00188461551442742,64.8115615844727,44,0.0660377368330956,27,37.0222221662935,0
"19",19,978.614013671875,132.367584228516,15783.2666015625,309,2580.29489034016,0.147961542010307,64.8115615844727,48,0.103953309357166,27,7.2794258077867,0
"20",20,1754.18078613281,120.712898254395,17511.955078125,133,5526.36958334973,0.00319230766035616,64.8115615844727,38,0.106002554297447,42,330.503572013222,0
"21",21,224.769256591797,107.092346191406,2663.61474609375,147,3651.86504065575,0.00899999961256981,64.8115615844727,38,0.120494328439236,38,827.629783408101,0
"22",22,34.1303672790527,88.6729583740234,301988.9375,24,NA,0.0451153852045536,64.8115615844727,37,0.158043667674065,35,NA,0
"23",23,30.2180194854736,113.819953918457,195128.84375,110,2735.13870980593,87.0912322998047,64.8115615844727,33,0.304468750953674,43,107.411540136003,1
"24",24,92.085693359375,94.9838256835938,695737.8125,62,425.695091757565,0.00746153853833675,64.8115615844727,33,0.170474514365196,43,187.639582919115,1
"25",25,52.6779365539551,92.8951416015625,12620.5322265625,158,524.346178236038,0.00153846153989434,64.8115615844727,33,0.127388536930084,47,54.2414112701819,0
"26",26,1207.57556152344,83.366081237793,72013.2890625,69,8514.19421552254,0.0386538468301296,64.8115615844727,38,0.130553394556046,40,62.5230591201358,1
"27",27,35.3249435424805,55.7604866027832,4242.9013671875,417,4926.34612635475,0.166999995708466,64.8115615844727,34,0.249928042292595,43,16.8093080220132,0
"28",28,893.504333496094,125.07901763916,35548.5546875,213,4356.57146016465,0.00257692323066294,64.8115615844727,48,0.0801435485482216,27,61.2107550815395,0
"29",29,124.455764770508,70.4137878417969,81502.640625,495,2674.10681742047,0.0416538454592228,12.18798828125,25,0.248451471328735,42,0,1
"30",30,124.455764770508,70.4137878417969,81502.640625,495,2674.10681742047,0.0416538454592228,12.18798828125,25,0.248451471328735,42,0,1
"31",31,0.135560154914856,77.0321273803711,1431.56335449219,374,448.849311616034,0.00430769240483642,12.18798828125,18,0.18604651093483,62,0,0
"32",32,342.028015136719,78.9267044067383,117.323188781738,644,229.53881445552,0.0210769232362509,12.18798828125,26,0.154105737805367,39,0,0
"33",33,363.543182373047,78.4661483764648,117.323188781738,644,229.53881445552,0.0938846170902252,12.18798828125,25,0.2020193785429,40,0,0
"34",34,174.127380371094,82.1268157958984,21.9385280609131,565,557.878564204172,0.0124230766668916,12.18798828125,25,0.219131618738174,44,0,0
"35",35,174.127380371094,82.1268157958984,21.9385280609131,565,557.878564204172,0.0124230766668916,12.18798828125,25,0.219131618738174,44,0,0
"36",36,800.187744140625,45.2720069885254,12182.1005859375,394,1911.47992907812,0.538846135139465,12.18798828125,31,0.329081803560257,30,0,1
"37",37,0.0694012269377708,55.877326965332,1286.96423339844,388,1377.18542662431,0.148115381598473,12.18798828125,26,0.293208479881287,41,0,0
"38",38,116.141654968262,80.3291397094727,470987.96875,434,721.698953835735,3.84615414077416e-05,12.18798828125,22,-0.01098901219666,38,0,1
