"","OBJECTID","n_export","precip_variability","population","pigs","cattle","flash_flow","average_flow","percent_no_sanitation","proportion_urban"
"1","ARG00001",52.974910736084,17.4339847564697,4974.8916015625,996.08451370021,1730.53561244621,1.0624748468399,11556.2587890625,20.7360000610352,0
"2","ARG00002",23.2903900146484,36.766242980957,306.080688476562,14.3100283405333,3473.98901139668,0.185242250561714,0.0832307711243629,8.91655731201172,0
"3","ARG00003",20.1651630401611,40.9269027709961,1089.53833007812,146.974057845477,2958.31656428266,0.136000007390976,0.00261538475751877,8.91655731201172,0
"4","ARG00004",11.1385288238525,44.0658493041992,48964.3359375,226.414760453023,1767.61854785775,1.23606324195862,14367.279296875,8.91655731201172,1
"5","ARG00005",8.00790786743164,NA,509.618560791016,NA,NA,NA,NA,8.91655731201172,0
"6","ARG00006",33.7273788452148,27.9344673156738,23775.619140625,89.3133782117565,1865.20254287299,0.232185125350952,0.558423101902008,8.91655731201172,1
"7","ARG00010",0,64.3223419189453,232.896621704102,0,0,0.0990764051675796,0.0272307693958282,8.91655731201172,0
"8","ARG00011",31.5116939544678,32.9336471557617,360385.3125,351.586067208861,3469.96540234175,0.861170768737793,2514.22338867188,20.7360000610352,1
"9","ARG00012",375.067687988281,28.3970947265625,899.003784179688,18.6022265738096,1629.00763937545,0.118912793695927,0.00403846148401499,8.91655731201172,0
"10","ARG00015",0,32.6978569030762,170911.921875,94.4349400478591,1156.19578684013,0.901575565338135,2893.5263671875,8.91655731201172,1
"11","AUS00001",273.688110351562,15.4649085998535,1574.88647460938,87.3997602179255,1129.54029240493,0.391068637371063,21.2230396270752,0.0088476175442338,0
"12","AUS00002",989.513122558594,17.6124649047852,60.4109497070312,1.40342222487085,2056.63466533509,0.404341369867325,0.0730769261717796,0.0088476175442338,0
"13","AUS00003",44.9171142578125,15.8034296035767,16794.556640625,167.997327221687,527.745894060691,0.312035650014877,0.01615384593606,0.0088476175442338,1
"14","AUS00004",26.2553825378418,22.6043090820312,0,0.0130254624201052,41.098124441661,0.425202637910843,0.0221923086792231,0.0088476175442338,0
"15","AUS00005",112.543601989746,25.8594245910644,1313.89196777344,4396.80514112783,154.71216608316,-0.862069070339203,0.000961538520641625,0.0088476175442338,0
"16","AUS00007",277.274139404297,21.5027408599854,2219.5302734375,1790.36147487214,1925.91638198367,0.293333351612091,0.000846153881866485,0.0088476175442338,1
"17","AUS00008",101.14338684082,22.4987163543701,7.02322292327881,0.0478035912260976,1586.78293954326,0.355890214443207,29.3673076629639,0.0088476175442338,0
"18","AUS00009",26.3011035919189,26.1332702636719,0,0.0162241045922587,26.643825689818,0.302250117063522,79.2800750732422,0.0088476175442338,0
