"n_export","precip_variability","population","pigs","cattle","flash_flow","average_flow","percent_no_sanitation","proportion_urban","noxn"
7903.693359375,17.2497067692691,4974.8916015625,996.08451370021,1730.53561244621,1.06301999092102,11621.107421875,20.7360000610352,0.469999998807907,0.239166666666667
7903.693359375,17.2497067692691,4974.8916015625,996.08451370021,1730.53561244621,1.06301999092102,11621.107421875,20.7360000610352,0.469999998807907,0.285555555555556
7903.693359375,17.2497067692691,4974.8916015625,996.08451370021,1730.53561244621,1.06301999092102,11621.107421875,20.7360000610352,0.469999998807907,0.1964
7903.693359375,17.2497067692691,4974.8916015625,996.08451370021,1730.53561244621,1.06301999092102,11621.107421875,20.7360000610352,0.469999998807907,0.282090909090909
9316.1328125,44.2695873443199,48964.3359375,226.414760453023,1767.61854785775,1.23603487014771,14367.2490234375,8.91655731201172,1,2
9316.1328125,44.2695873443199,48964.3359375,226.414760453023,1767.61854785775,1.23603487014771,14367.2490234375,8.91655731201172,1,2.42857142857143
9316.1328125,44.2695873443199,48964.3359375,226.414760453023,1767.61854785775,1.23603487014771,14367.2490234375,8.91655731201172,1,1
9316.1328125,44.2695873443199,48964.3359375,226.414760453023,1767.61854785775,1.23603487014771,14367.2490234375,8.91655731201172,1,3
9316.1328125,44.2695873443199,48964.3359375,226.414760453023,1767.61854785775,1.23603487014771,14367.2490234375,8.91655731201172,1,2
9316.1328125,44.2695873443199,48964.3359375,226.414760453023,1767.61854785775,1.23603487014771,14367.2490234375,8.91655731201172,1,2
9316.1328125,44.2695873443199,48964.3359375,226.414760453023,1767.61854785775,1.23603487014771,14367.2490234375,8.91655731201172,1,2.22222222222222
5918.525390625,27.3053127596608,899.003784179688,18.6022265738096,1629.00763937545,1.0536162853241,12355.9638671875,8.91655731201172,0,0.394833333333333
5918.525390625,27.3053127596608,899.003784179688,18.6022265738096,1629.00763937545,1.0536162853241,12355.9638671875,8.91655731201172,0,0.1822
5918.525390625,27.3053127596608,899.003784179688,18.6022265738096,1629.00763937545,1.0536162853241,12355.9638671875,8.91655731201172,0,0.2708
5918.525390625,27.3053127596608,899.003784179688,18.6022265738096,1629.00763937545,1.0536162853241,12355.9638671875,8.91655731201172,0,0.278636363636364
5918.525390625,27.3053127596608,899.003784179688,18.6022265738096,1629.00763937545,1.0536162853241,12355.9638671875,8.91655731201172,0,0.320222222222222
265154.375,16.9732197798087,27078.55859375,22983.2797885167,3429.05581696349,0.438357442617416,3.21115374565125,0.514663755893707,0.660000026226044,5.9625
265154.375,16.9732197798087,27078.55859375,22983.2797885167,3429.05581696349,0.438357442617416,3.21115374565125,0.514663755893707,0.660000026226044,5.77141666666667
265154.375,16.9732197798087,27078.55859375,22983.2797885167,3429.05581696349,0.438357442617416,3.21115374565125,0.514663755893707,0.660000026226044,5.54166666666667
70628.5,19.6932456052453,10787.7177734375,11427.2136722087,6629.5761685685,0,0,0.514663755893707,0.990000009536743,2.587
70628.5,19.6932456052453,10787.7177734375,11427.2136722087,6629.5761685685,0,0,0.514663755893707,0.990000009536743,2.46333333333333
70628.5,19.6932456052453,10787.7177734375,11427.2136722087,6629.5761685685,0,0,0.514663755893707,0.990000009536743,1.39416666666667
503619.5625,17.9734791034378,3038.51318359375,2343.4936350273,1836.94986142278,0,0,0.514663755893707,0,3.34791666666667
503619.5625,17.9734791034378,3038.51318359375,2343.4936350273,1836.94986142278,0,0,0.514663755893707,0,1.4725
503619.5625,17.9734791034378,3038.51318359375,2343.4936350273,1836.94986142278,0,0,0.514663755893707,0,2.2025
162873.96875,14.8319610185999,50402.51953125,4221.93198456215,1756.98119477552,0.449360996484757,6.50211524963379,2.12659502029419,0.5,4.09074166666667
162873.96875,14.8319610185999,50402.51953125,4221.93198456215,1756.98119477552,0.449360996484757,6.50211524963379,2.12659502029419,0.5,4.95308333333333
118211.375,12.6651310164424,7171.12109375,39384.3983079988,5466.74648199793,0.409673869609833,2.344153881073,0.514663755893707,0.150000005960464,3.69675
118211.375,12.6651310164424,7171.12109375,39384.3983079988,5466.74648199793,0.409673869609833,2.344153881073,0.514663755893707,0.150000005960464,3.59
118211.375,12.6651310164424,7171.12109375,39384.3983079988,5466.74648199793,0.409673869609833,2.344153881073,0.514663755893707,0.150000005960464,3.529
222569,15.5968197438303,67139.140625,4578.39502788221,2719.94784711412,0.561671197414398,71.2300796508789,0.514663755893707,1,5.02672727272727
222569,15.5968197438303,67139.140625,4578.39502788221,2719.94784711412,0.561671197414398,71.2300796508789,0.514663755893707,1,5.38117647058824
222569,15.5968197438303,67139.140625,4578.39502788221,2719.94784711412,0.561671197414398,71.2300796508789,0.514663755893707,1,5.28666666666667
143310.125,12.4283050009802,72604.6796875,344.593764034274,2462.90582939399,0.528164505958557,39.3828086853027,0.514663755893707,1,4.42541666666667
143310.125,12.4283050009802,72604.6796875,344.593764034274,2462.90582939399,0.528164505958557,39.3828086853027,0.514663755893707,1,4.05033333333333
143310.125,12.4283050009802,72604.6796875,344.593764034274,2462.90582939399,0.528164505958557,39.3828086853027,0.514663755893707,1,4.22727272727273
146331.28125,12.6672548452901,17605.6640625,796.358858921031,5416.48757511743,0.461991161108017,9.1390380859375,0.514663755893707,0.720000028610229,1.5635
146331.28125,12.6672548452901,17605.6640625,796.358858921031,5416.48757511743,0.461991161108017,9.1390380859375,0.514663755893707,0.720000028610229,1.55166666666667
146331.28125,12.6672548452901,17605.6640625,796.358858921031,5416.48757511743,0.461991161108017,9.1390380859375,0.514663755893707,0.720000028610229,1.8222
