"","OBJECTID","source","noxn"
"216",17,"GEMStat",34.1544166666667
"217",17,"GEMStat",30.9213333333333
"218",17,"GEMStat",24.0263333333333
"219",17,"GEMStat",33.0266666666667
"220",17,"GEMStat",16.8748333333333
"221",553,"Gu",17.1
"222",1766,"USGS",2
"223",119,"Gu",2.3
"224",406,"Gu",2
"225",839,"Ouedraogo",14.00332
"226",425,"Gu",3.4
"227",840,"Ouedraogo",29.44
"228",462,"Gu",1.6
"229",1634,"USGS",0
"230",272,"Gu",11.1
"231",1635,"USGS",1
"232",402,"Gu",3.9
"233",843,"Ouedraogo",8.05
"234",460,"Gu",1.2
"235",1604,"USGS",0
"236",307,"Gu",5.7
"237",845,"Ouedraogo",15.4008
"238",1605,"USGS",7
"239",505,"Gu",10.3
"240",846,"Ouedraogo",7.82
"241",1606,"USGS",92
"242",522,"Gu",3.4
"243",847,"Ouedraogo",0.2231
"244",1607,"USGS",11
"245",18,"GEMStat",1.31108333333333
"246",18,"GEMStat",0.8156
"247",18,"GEMStat",1.63333333333333
"248",18,"GEMStat",4.005
"249",18,"GEMStat",0.43
"250",18,"GEMStat",1.2286
"251",18,"GEMStat",0.26
"252",18,"GEMStat",1.7
"253",18,"GEMStat",1.78575
"254",18,"GEMStat",1.523
"255",18,"GEMStat",3.49727272727273
"256",161,"Gu",9.6
"257",1767,"USGS",1
"258",536,"Gu",9.1
"259",848,"Ouedraogo",18.63
"260",1608,"USGS",0
"261",515,"Gu",3.5
"262",849,"Ouedraogo",18.032
"263",1609,"USGS",38
"264",465,"Gu",12.4
"265",1610,"USGS",4
"266",500,"Gu",7.2
"267",851,"Ouedraogo",2.99
"268",1611,"USGS",20
"269",524,"Gu",22
"270",1612,"USGS",14
"271",517,"Gu",17.5
"272",853,"Ouedraogo",0.46
"273",1613,"USGS",11
"274",537,"Gu",14
"275",1614,"USGS",1
"276",497,"Gu",61.3
"277",497,"Gu",57.9
"278",855,"Ouedraogo",26.45
"279",1615,"USGS",16
"280",530,"Gu",26.9
"281",856,"Ouedraogo",149.04
"282",1616,"USGS",2
"283",508,"Gu",3.7
"284",857,"Ouedraogo",39.79
"285",1617,"USGS",21
"286",19,"GEMStat",0.0566666666666667
"287",19,"GEMStat",0.496636363636364
"288",19,"GEMStat",0.62
"289",19,"GEMStat",0.565545454545455
"290",19,"GEMStat",1.01416666666667
"291",19,"GEMStat",0.581166666666667
"292",19,"GEMStat",0.785
"293",19,"GEMStat",1.19666666666667
"294",19,"GEMStat",0.933666666666667
"295",19,"GEMStat",0.7298
"296",162,"Gu",1
"297",687,"Ouedraogo",2.162
"298",1769,"USGS",10
"299",520,"Gu",15.7
"300",858,"Ouedraogo",1.1638
"301",1618,"USGS",5
"302",534,"Gu",21.9
"303",1619,"USGS",24
"304",544,"Gu",16.5
"305",860,"Ouedraogo",0.2898
"306",1620,"USGS",9
"307",411,"Gu",3.8
"308",861,"Ouedraogo",4.393
"309",1621,"USGS",12
"310",514,"Gu",3
"311",1622,"USGS",18
"312",512,"Gu",6.5
"313",1623,"USGS",14
"314",429,"Gu",3.2
"315",1624,"USGS",4
"316",525,"Gu",25.2
"317",1625,"USGS",16
"318",523,"Gu",21.5
"319",1626,"USGS",2
"320",509,"Gu",4.3
"321",1627,"USGS",12
"322",2,"GEMStat",0.63
"323",2,"GEMStat",0.82
"324",435,"Gu",0.1
"325",1753,"USGS",11
"326",20,"GEMStat",0.6
"327",20,"GEMStat",1.10333333333333
"328",20,"GEMStat",0.268181818181818
"329",20,"GEMStat",0.123333333333333
"330",20,"GEMStat",0.93
"331",20,"GEMStat",0.106666666666667
"332",20,"GEMStat",0.05
"333",20,"GEMStat",0.661
"334",20,"GEMStat",0.225
"335",20,"GEMStat",0.11
"336",20,"GEMStat",0.11
"337",20,"GEMStat",0.2
"338",20,"GEMStat",0.092
"339",20,"GEMStat",0.111666666666667
"340",20,"GEMStat",0.136666666666667
"341",20,"GEMStat",0.54
"342",20,"GEMStat",0.145833333333333
"343",20,"GEMStat",0.101666666666667
"344",20,"GEMStat",0.12
"345",20,"GEMStat",0.1325
"346",164,"Gu",4.6
"347",487,"Gu",4.8
"348",1582,"USGS",0
"349",511,"Gu",3.2
"350",1591,"USGS",0
"351",528,"Gu",28.3
"352",1590,"USGS",0
"353",451,"Gu",0.5
"354",1584,"USGS",0
"355",449,"Gu",2.2
"356",1580,"USGS",0
"357",539,"Gu",10.8
"358",1589,"USGS",8
"359",480,"Gu",3.3
"360",1595,"USGS",0
"361",368,"Gu",0.5
"362",1586,"USGS",7
"363",496,"Gu",1.8
"364",1601,"USGS",15
"365",323,"Gu",7.5
"366",1588,"USGS",3
"367",21,"GEMStat",10.5
"368",21,"GEMStat",3.1
"369",21,"GEMStat",6
"370",21,"GEMStat",30.55
"371",21,"GEMStat",3.77583333333333
"372",21,"GEMStat",31
"373",21,"GEMStat",21.6166666666667
"374",21,"GEMStat",4.77454545454545
"375",21,"GEMStat",31.2727272727273
"376",21,"GEMStat",6.14
"377",21,"GEMStat",3.06666666666667
"378",21,"GEMStat",9.86666666666667
"379",21,"GEMStat",35.4166666666667
"380",21,"GEMStat",8.74454545454545
"381",21,"GEMStat",30.7
"382",21,"GEMStat",16.5
"383",21,"GEMStat",16.5416666666667
"384",21,"GEMStat",28.6966666666667
"385",21,"GEMStat",10.7666666666667
"386",21,"GEMStat",17.3333333333333
"387",21,"GEMStat",2.3
"388",165,"Gu",0.6
"389",1770,"USGS",2
"390",362,"Gu",0.5
"391",1576,"USGS",13
"392",438,"Gu",2.8
"393",1597,"USGS",13
"394",442,"Gu",0.8
"395",1599,"USGS",0
"396",516,"Gu",1.5
"397",1578,"USGS",3
"398",499,"Gu",1.4
"399",1602,"USGS",0
"400",447,"Gu",0.6
"401",1593,"USGS",19
"402",519,"Gu",1
"403",456,"Gu",1.2
"404",489,"Gu",0.5
"405",445,"Gu",1.5
"406",22,"GEMStat",3.07333333333333
"407",22,"GEMStat",2.12083333333333
"408",22,"GEMStat",0.675
"409",22,"GEMStat",2.84416666666667
"410",22,"GEMStat",2.389
"411",22,"GEMStat",2.59516666666667
"412",22,"GEMStat",1.441
"413",22,"GEMStat",2.0875
"414",22,"GEMStat",1.47916666666667
"415",22,"GEMStat",1.34628571428571
"416",22,"GEMStat",0.9175
"417",22,"GEMStat",0.056
"418",22,"GEMStat",2.60181818181818
"419",22,"GEMStat",0.03
"420",22,"GEMStat",2.82636363636364
"421",22,"GEMStat",1.82916666666667
"422",22,"GEMStat",1.11909090909091
"423",22,"GEMStat",2.15545454545455
"424",22,"GEMStat",2.86525
"425",22,"GEMStat",1.48333333333333
"426",22,"GEMStat",2.41666666666667
"427",22,"GEMStat",2.06666666666667
"428",166,"Gu",2
"429",690,"Ouedraogo",10.419
"430",1771,"USGS",10
"431",446,"Gu",5.2
"432",365,"Gu",1.1
"433",527,"Gu",0.4
"434",495,"Gu",0.8
"435",315,"Gu",1.8
"436",556,"Gu",6.2
"437",1345,"USGS",0
"438",290,"Gu",8.3
"439",1289,"USGS",3
"440",526,"Gu",0.3
"441",567,"Gu",2.1
"442",1577,"USGS",12
"443",542,"Gu",0.4
"444",1579,"USGS",0
"445",23,"GEMStat",1.16333333333333
"446",23,"GEMStat",0.4975
"447",23,"GEMStat",0.4685
"448",23,"GEMStat",0.663
"449",23,"GEMStat",0.4735
"450",23,"GEMStat",1.83333333333333
"451",23,"GEMStat",0.01
"452",23,"GEMStat",2.29
"453",23,"GEMStat",1.17166666666667
"454",23,"GEMStat",1.44027272727273
"455",23,"GEMStat",2.1325
"456",23,"GEMStat",0.01
"457",23,"GEMStat",1.75
"458",23,"GEMStat",0.440583333333333
"459",23,"GEMStat",0.625
"460",23,"GEMStat",2.01363636363636
"461",23,"GEMStat",1.39733333333333
"462",23,"GEMStat",1.00166666666667
"463",23,"GEMStat",1.12709090909091
"464",23,"GEMStat",0.980666666666667
"465",23,"GEMStat",0.646083333333333
"466",163,"Gu",13.3
"467",1772,"USGS",0
"468",476,"Gu",11.6
"469",1581,"USGS",0
"470",330,"Gu",6.5
"471",1562,"USGS",0
"472",598,"Gu",1.1
"473",1563,"USGS",0
