"n_export","precip_variability","population","depth_to_groundwater","cattle","average_flow","percent_no_sanitation","clay_percent","flash_flow","sand_percent","pigs","proportion_urban","noxn"
2035.05126953125,96.8162094869233,92.8472366333008,281,1104.33734568171,0.246730774641037,8.91655731201172,31,0.191475391387939,44,5.63479218235011,0,0.02
2035.05126953125,96.8162094869233,92.8472366333008,281,1104.33734568171,0.246730774641037,8.91655731201172,31,0.191475391387939,44,5.63479218235011,0,0.052
2035.05126953125,96.8162094869233,92.8472366333008,281,1104.33734568171,0.246730774641037,8.91655731201172,31,0.191475391387939,44,5.63479218235011,0,0.03
2035.05126953125,96.8162094869233,92.8472366333008,281,1104.33734568171,0.246730774641037,8.91655731201172,31,0.191475391387939,44,5.63479218235011,0,0.07
2035.05126953125,96.8162094869233,92.8472366333008,281,1104.33734568171,0.246730774641037,8.91655731201172,31,0.191475391387939,44,5.63479218235011,0,0.03
2035.05126953125,96.8162094869233,92.8472366333008,281,1104.33734568171,0.246730774641037,8.91655731201172,31,0.191475391387939,44,5.63479218235011,0,0.5075
264213.25,88.9941906948976,563039.8125,3,15236.6946509075,95.0671920776367,64.2270202636719,25,0.2436603307724,39,220.620449178836,0.790000021457672,0.63
264213.25,88.9941906948976,563039.8125,3,15236.6946509075,95.0671920776367,64.2270202636719,25,0.2436603307724,39,220.620449178836,0.790000021457672,0.82
111727.234375,88.1504083743696,101507.453125,9,12816.9927417096,0.883153855800629,64.2270202636719,26,0.235563263297081,33,0.999261143990038,0,0.846
111727.234375,88.1504083743696,101507.453125,9,12816.9927417096,0.883153855800629,64.2270202636719,26,0.235563263297081,33,0.999261143990038,0,1.3625
111727.234375,88.1504083743696,101507.453125,9,12816.9927417096,0.883153855800629,64.2270202636719,26,0.235563263297081,33,0.999261143990038,0,2.107
98497.453125,84.9116197596042,431379.25,15,0,0.876653850078583,64.2270202636719,32,0.24591101706028,33,0,1,1.1
98497.453125,84.9116197596042,431379.25,15,0,0.876653850078583,64.2270202636719,32,0.24591101706028,33,0,1,6.801
98497.453125,84.9116197596042,431379.25,15,0,0.876653850078583,64.2270202636719,32,0.24591101706028,33,0,1,1.214
98497.453125,84.9116197596042,431379.25,15,0,0.876653850078583,64.2270202636719,32,0.24591101706028,33,0,1,1.0055
7957.5322265625,15.5287074081603,25526.83984375,255,86.4624607929238,0,0.373447775840759,8,0,62,2.10846184742136,0.979591846466064,0.0533333333333333
7957.5322265625,15.5287074081603,25526.83984375,255,86.4624607929238,0,0.373447775840759,8,0,62,2.10846184742136,0.979591846466064,0.01
7957.5322265625,15.5287074081603,25526.83984375,255,86.4624607929238,0,0.373447775840759,8,0,62,2.10846184742136,0.979591846466064,0.01
7957.5322265625,15.5287074081603,25526.83984375,255,86.4624607929238,0,0.373447775840759,8,0,62,2.10846184742136,0.979591846466064,0.0275
7957.5322265625,15.5287074081603,25526.83984375,255,86.4624607929238,0,0.373447775840759,8,0,62,2.10846184742136,0.979591846466064,0.0225
13812.8330078125,91.0513699256023,1665.04992675781,758,102.75682536061,11.90553855896,3.99889707565308,25,0.425594180822372,64,0.744936378718221,0.0199999995529652,10.003
13812.8330078125,91.0513699256023,1665.04992675781,758,102.75682536061,11.90553855896,3.99889707565308,25,0.425594180822372,64,0.744936378718221,0.0199999995529652,12.9412
13812.8330078125,91.0513699256023,1665.04992675781,758,102.75682536061,11.90553855896,3.99889707565308,25,0.425594180822372,64,0.744936378718221,0.0199999995529652,21.4326
13812.8330078125,91.0513699256023,1665.04992675781,758,102.75682536061,11.90553855896,3.99889707565308,25,0.425594180822372,64,0.744936378718221,0.0199999995529652,12.525
13812.8330078125,91.0513699256023,1665.04992675781,758,102.75682536061,11.90553855896,3.99889707565308,25,0.425594180822372,64,0.744936378718221,0.0199999995529652,5.87
13812.8330078125,91.0513699256023,1665.04992675781,758,102.75682536061,11.90553855896,3.99889707565308,25,0.425594180822372,64,0.744936378718221,0.0199999995529652,17.106
13812.8330078125,91.0513699256023,1665.04992675781,758,102.75682536061,11.90553855896,3.99889707565308,25,0.425594180822372,64,0.744936378718221,0.0199999995529652,18.4825
13812.8330078125,91.0513699256023,1665.04992675781,758,102.75682536061,11.90553855896,3.99889707565308,25,0.425594180822372,64,0.744936378718221,0.0199999995529652,10.11
13812.8330078125,91.0513699256023,1665.04992675781,758,102.75682536061,11.90553855896,3.99889707565308,25,0.425594180822372,64,0.744936378718221,0.0199999995529652,18.06475
2.25775909423828,26.6469355010596,2552.42065429688,370,1413.30923232432,0.00023076924844645,6.8978099822998,24,-0.0335195548832417,41,2.66541381650739,0.550000011920929,0
8143.27880859375,80.9143692979093,328135.96875,554,665.34951698776,0,0.0966705307364464,20,0,44,2662.19841827531,0.955555558204651,2.15555555555556
8143.27880859375,80.9143692979093,328135.96875,554,665.34951698776,0,0.0966705307364464,20,0,44,2662.19841827531,0.955555558204651,2.01714285714286
8143.27880859375,80.9143692979093,328135.96875,554,665.34951698776,0,0.0966705307364464,20,0,44,2662.19841827531,0.955555558204651,2.49666666666667
73672.8671875,28.7070798159819,101104.9609375,223,1492.10001539813,0.64307689666748,0.878557801246643,21,0.387773066759109,42,155.080178184428,0.899999976158142,7.8
73672.8671875,28.7070798159819,101104.9609375,223,1492.10001539813,0.64307689666748,0.878557801246643,21,0.387773066759109,42,155.080178184428,0.899999976158142,2.9
73672.8671875,28.7070798159819,101104.9609375,223,1492.10001539813,0.64307689666748,0.878557801246643,21,0.387773066759109,42,155.080178184428,0.899999976158142,4.2
